method,metric,mean,ci95_low,ci95_high,n_blocks
SASP,deadline_expiration_class0,0.0,0.0,0.0,10
SASP,queue_overflow_packet_probability,1.2816434642818548e-05,-8.455458286895874e-06,3.408832757253297e-05,10
SASP,cohort_goodput_mbps,3.2294390432098767,3.214465009719505,3.2444130767002486,10
SASP,energy_j,0.07939311346217064,0.07879507082243514,0.07999115610190613,10
SASP,throughput_mbps,3.3116775080406873,3.297529817808906,3.3258251982724687,10
SASP,total_packet_failure_probability,1.2816434642818548e-05,-8.455458286895874e-06,3.408832757253297e-05,10
SASP,deadline_expiration_class1,0.0,0.0,0.0,10
SASP,deadline_expiration_class2,0.0,0.0,0.0,10
SASP,controller_median_ms,2.3784718055555554,2.245378738621148,2.511564872489963,10
SASP,controller_p95_ms,5.630525472222219,4.662040571646623,6.5990103727978155,10
SASP,decision_median_ms,2.3606029166666667,2.2284249777570007,2.4927808555763327,10
SASP,decision_p95_ms,5.606122638888886,4.641925600592203,6.5703196771855685,10
MaxRateMatching,deadline_expiration_class0,0.001256146247276144,0.0010300431528551552,0.001482249341697133,10
MaxRateMatching,queue_overflow_packet_probability,0.00037853200956705006,0.0002248127798665947,0.0005322512392675054,10
MaxRateMatching,cohort_goodput_mbps,3.2265686728395067,3.211591937986001,3.241545407693012,10
MaxRateMatching,energy_j,0.07024716045788634,0.06991629686228965,0.07057802405348304,10
MaxRateMatching,throughput_mbps,3.311553961760778,3.296747624661037,3.326360298860519,10
MaxRateMatching,total_packet_failure_probability,0.00092239130027238,0.0007733675617788031,0.001071415038765957,10
MaxRateMatching,deadline_expiration_class1,0.00018390950534283944,6.0165502056954e-05,0.0003076535086287249,10
MaxRateMatching,deadline_expiration_class2,0.0,0.0,0.0,10
MaxRateMatching,controller_median_ms,0.8944230555555555,0.828250321935758,0.9605957891753529,10
MaxRateMatching,controller_p95_ms,1.9539951388888877,1.602996140724971,2.304994137052804,10
MaxRateMatching,decision_median_ms,0.8944230555555555,0.828250321935758,0.9605957891753529,10
MaxRateMatching,decision_p95_ms,1.9539951388888877,1.602996140724971,2.304994137052804,10
MaxWeight,deadline_expiration_class0,0.002504332910201497,0.0021490917973878963,0.0028595740230150974,10
MaxWeight,queue_overflow_packet_probability,0.00028106215169827504,0.00014928612313900701,0.00041283818025754306,10
MaxWeight,cohort_goodput_mbps,3.2257037037037035,3.210617588502338,3.240789818905069,10
MaxWeight,energy_j,0.07049671067679082,0.07018373680009074,0.0708096845534909,10
MaxWeight,throughput_mbps,3.312148824364222,3.2975802390210087,3.326717409707435,10
MaxWeight,total_packet_failure_probability,0.0014990530223654803,0.001346981878842452,0.0016511241658885086,10
MaxWeight,deadline_expiration_class1,0.0002053540380560134,7.423412149911796e-05,0.00033647395461290885,10
MaxWeight,deadline_expiration_class2,0.0,0.0,0.0,10
MaxWeight,controller_median_ms,1.02990625,0.9820462439233221,1.0777662560766779,10
MaxWeight,controller_p95_ms,2.5933759166666652,2.245370828386042,2.9413810049472886,10
MaxWeight,decision_median_ms,1.02990625,0.9820462439233221,1.0777662560766779,10
